"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Commercially","Commercially"
"Condition","Condition"
"Create New Tradein","Create New Tradein"
"Delete Tradein","Delete Tradein"
"Edit Tradein '%1'","Edit Tradein '%1'"
"ID","ID"
"License","License"
"Never Written Off","Never Written Off"
"New Tradein","New Tradein"
"Number Kms","Number Kms"
"Nvic","Nvic"
"Please Select Tradeins.","Please Select Tradeins."
"Save Tradein","Save Tradein"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Tradein.","Something went wrong while saving the Tradein."
"State","State"
"The Tradein has been deleted.","The Tradein has been deleted."
"The Tradein has been saved.","The Tradein has been saved."
"This Tradein no longer exists.","This Tradein no longer exists."
"Tradein %1","Tradein %1"
"Tradein Information","Tradein Information"
"Tradein to delete was not found.","Tradein to delete was not found."
"Tradein","Tradein"
"Tradeins","Vehicles Information"
"Valuatation","Valuatation"
"Vehicle Make","Vehicle Make"
"Vehicle Model","Vehicle Model"
"Vin","Vin"
"Year","Year"
"Ône Owner","Ône Owner"
